Here’s a comprehensive opcode table for the **6502 / 65C02** processor architecture. This table includes 256 entries detailing the opcode, mnemonic, addressing mode, and notes for undocumented opcodes.

| **Opcode** | **6502 Mnemonic** | **65C02 Mnemonic** | **Addressing Mode**                    | **Comments**            |
| `50`       | `BVC`             | `BVC`               | Relative                               | Branch if overflow clear |
| `51`       | `EOR`             | `EOR`               | Indirect Indexed                       |                         |
| `52`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `53`       | `SRE`             | `SRE`               | Indirect Indexed                       | Shift right then EOR    |
| `54`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `55`       | `EOR`             | `EOR`               | Zero Page, X                           |                         |
| `56`       | `LSR`             | `LSR`               | Zero Page, X                           | Shift right             |
| `57`       | `SRE`             | `SRE`               | Zero Page, X                           | Shift right then EOR    |
| `58`       | `CLI`             | `CLI`               | Implicit                               | Clear interrupt flag    |
| `59`       | `EOR`             | `EOR`               | Absolute, Y                            |                         |
| `5A`       | `NOP`             | `NOP`               | Implicit                               |                         |
| `5B`       | `SRE`             | `SRE`               | Absolute, Y                            | Shift right then EOR    |
| `5C`       | `NOP`             | `NOP`               | Absolute, X                            | Undocumented            |
| `5D`       | `EOR`             | `EOR`               | Absolute, X                            |                         |
| `5E`       | `LSR`             | `LSR`               | Absolute, X                            | Shift right             |
| `5F`       | `SRE`             | `SRE`               | Absolute, X                            | Shift right then EOR    |
| `60`       | `RTS`             | `RTS`               | Implicit                               | Return from subroutine  |
| `61`       | `ADC`             | `ADC`               | Indexed Indirect                       |                         |
| `62`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `63`       | `RRA`             | `RRA`               | Indexed Indirect                       | Rotate right then ADC   |
| `64`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `65`       | `ADC`             | `ADC`               | Zero Page                              |                         |
| `66`       | `ROR`             | `ROR`               | Zero Page                              | Rotate right            |
| `67`       | `RRA`             | `RRA`               | Zero Page                              | Rotate right then ADC   |
| `68`       | `PLA`             | `PLA`               | Implicit                               | Pull accumulator        |
| `69`       | `ADC`             | `ADC`               | Immediate                              |                         |
| `6A`       | `ROR`             | `ROR`               | Accumulator                            | Rotate right            |
| `6B`       | `ARR`             | `ARR`               | Immediate                              | AND with carry, ROR     |
| `6C`       | `JMP`             | `JMP`               | Indirect                               | Jump                    |
| `6D`       | `ADC`             | `ADC`               | Absolute                               |                         |
| `6E`       | `ROR`             | `ROR`               | Absolute                               | Rotate right            |
| `6F`       | `RRA`             | `RRA`               | Absolute                               | Rotate right then ADC   |
| `70`       | `BVS`             | `BVS`               | Relative                               | Branch if overflow set  |
| `71`       | `ADC`             | `ADC`               | Indirect Indexed                       |                         |
| `72`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `73`       | `RRA`             | `RRA`               | Indirect Indexed                       | Rotate right then ADC   |
| `74`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `75`       | `ADC`             | `ADC`               | Zero Page, X                           |                         |
| `76`       | `ROR`             | `ROR`               | Zero Page, X                           | Rotate right            |
| `77`       | `RRA`             | `RRA`               | Zero Page, X                           | Rotate right then ADC   |
| `78`       | `SEI`             | `SEI`               | Implicit                               | Set interrupt flag      |
| `79`       | `ADC`             | `ADC`               | Absolute, Y                            |                         |
| `7A`       | `NOP`             | `NOP`               | Implicit                               |                         |
| `7B`       | `RRA`             | `RRA`               | Absolute, Y                            | Rotate right then ADC   |
| `7C`       | `NOP`             | `NOP`               | Absolute, X                            | Undocumented            |
| `7D`       | `ADC`             | `ADC`               | Absolute, X                            |                         |
| `7E`       | `ROR`             | `ROR`               | Absolute, X                            | Rotate right            |
| `7F`       | `RRA`             | `RRA`               | Absolute, X                            | Rotate right then ADC   |
| `80`       | `NOP`             | `NOP`               | Immediate                              | Undocumented            |
| `81`       | `STA`             | `STA`               | Indexed Indirect                       | Store accumulator       |
| `82`       | `NOP`             | `NOP`               | Immediate                              | Undocumented            |
| `83`       | `SAX`             | `SAX`               | Indexed Indirect                       | Store A and X          |
| `84`       | `STY`             | `STY`               | Zero Page                              | Store Y                 |
| `85`       | `STA`             | `STA`               | Zero Page                              | Store accumulator       |
| `86`       | `STX`             | `STX`               | Zero Page                              | Store X                 |
| `87`       | `SAX`             | `SAX`               | Zero Page                              | Store A and X          |
| `88`       | `DEY`             | `DEY`               | Implicit                               | Decrement Y             |
| `89`       | `BIT`             | `BIT`               | Immediate                              |                         |
| `8A`       | `TXA`             | `TXA`               | Implicit                               | Transfer X to A        |
| `8B`       | `XAA`             | `XAA`               | Immediate                              | AND X with Accumulator  |
| `8C`       | `STY`             | `STY`               | Absolute                               | Store Y                 |
| `8D`       | `STA`             | `STA`               | Absolute                               | Store accumulator       |
| `8E`       | `STX`             | `STX`               | Absolute                               | Store X                 |
| `8F`       | `SAX`             | `SAX`               | Absolute                               | Store A and X          |
| `90`       | `BCC`             | `BCC`               | Relative                               | Branch if carry clear   |
| `91`       | `STA`             | `STA`               | Indirect Indexed                       | Store accumulator       |
| `92`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `93`       | `SAX`             | `SAX`               | Indirect Indexed                       | Store A and X          |
| `94`       | `STY`             | `STY`               | Zero Page, X                           | Store Y                 |
| `95`       | `STA`             | `STA`               | Zero Page, X                           | Store accumulator       |
| `96`       | `STX`             | `STX`               | Zero Page, Y                           | Store X                 |
| `97`       | `SAX`             | `SAX`               | Zero Page, Y                           | Store A and X          |
| `98`       | `TYA`             | `TYA`               | Implicit                               | Transfer Y to A        |
| `99`       | `STA`             | `STA`               | Absolute, Y                            | Store accumulator       |
| `9A`       | `TXS`             | `TXS`               | Implicit                               | Transfer X to Stack     |
| `9B`       | `TAS`             | `TAS`               | Absolute, Y                            | Transfer A and X to Stack|
| `9C`       | `STZ`             | `STZ`               | Absolute                               | Store zero              |
| `9D`       | `STA`             | `STA`               | Absolute, X                            | Store accumulator       |
| `9E`       | `STZ`             | `STZ`               | Absolute, X                            | Store zero              |
| `9F`       | `STA`             | `STA`               | Absolute, Y                            | Store accumulator       |
| `A0`       | `LDY`             | `LDY`               | Immediate                              | Load Y                  |
| `A1`       | `LDA`             | `LDA`               | Indexed Indirect                       | Load accumulator        |
| `A2`       | `LDX`             | `LDX`               | Immediate                              | Load X                  |
| `A3`       | `LAX`             | `LAX`               | Indexed Indirect                       | Load A and X           |
| `A4`       | `LDY`             | `LDY`               | Zero Page                              | Load Y                  |
| `A5`       | `LDA`             | `LDA`               | Zero Page                              | Load accumulator        |
| `A6`       | `LDX`             | `LDX`               | Zero Page                              | Load X                  |
| `A7`      
